Identifier:,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,DEMO0066-2020BK01,,,,,,
 125,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 126,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 127,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 128,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 129,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 130,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 131,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 132,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 133,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 134,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 135,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 136,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 137,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 138,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 139,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 140,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 141,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 142,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 143,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 144,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 145,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 146,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 147,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 148,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 149,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 150,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 151,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 152,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 153,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 154,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 155,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 156,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 157,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 158,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 159,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 160,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 161,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 162,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 163,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 164,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 165,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 166,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 167,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 168,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 169,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 170,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 171,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 172,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 173,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 174,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 175,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 176,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 177,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 178,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
 179,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,       0,    0.0000,
